tato kniha (1.p.),dieses Buch,xx
tato kniha (2.p.),dieses Buches,
tato kniha (3.p.),diesem Buch,
tato kniha (4.p.),dieses Buch,
některá kniha (1.p.),manches Buch,
některá kniha (2.p.),manches Buches,
některá kniha (3.p.),manchem Buch,
některá kniha (4.p.),manches Buch,
každá kniha (1.p.),jedes Buch,
každá kniha (2.p.),jedes Buches,
každá kniha (3.p.),jedem Buch,
každá kniha (4.p.),jedes Buch,
tyto knihy (1.p.),diese Bücher,
tyto knihy (2.p.),dieser Bücher,
tyto knihy (3.p.),diesen Büchern,
tyto knihy (4.p.),diese Bücher,
některé knihy (1.p.),manche Bücher,
některé knihy (2.p.),mancher Bücher,
některé knihy (3.p.),manchen Büchern,
některé knihy (4.p.),manche Bücher,
všechny knihy (1.p.),alle Bücher,
všechny knihy (2.p.),aller Bücher,
všechny knihy (3.p.),allen Büchern,
všechny knihy (4.p.),alle Bücher,
tento obrázek (1.p.),dieses Bild,
tento obrázek (2.p.),dieses Bildes,
tento obrázek (3.p.),diesem Bild,
tento obrázek (4.p.),dieses Bild,
některý obrázek (1.p.),manches Bild,
některý obrázek (2.p.),manches Bildes,
některý obrázek (3.p.),manchem Bild,
některý obrázek (4.p.),manches Bild,
každý obrázek (1.p.),jedes Bild,
každý obrázek (2.p.),jedes Bildes,
každý obrázek (3.p.),jedem Bild,
každý obrázek (4.p.),jedes Bild,
tyto obrázky (1.p.),diese Bilder,
tyto obrázky (2.p.),dieser Bilder,
tyto obrázky (3.p.),diesen Bildern,
tyto obrázky (4.p.),diese Bilder,
některé obrázky (1.p.),manche Bilder,
některé obrázky (2.p.),mancher Bilder,
některé obrázky (3.p.),manchen Bildern,
některé obrázky (4.p.),manche Bilder,
všechny obrázky (1.p.),alle Bilder,
všechny obrázky (2.p.),aller Bilder,
všechny obrázky (3.p.),allen Bildern,
všechny obrázky (4.p.),alle Bilder,
tato adresa (1.p.),diese Adresse,
tato adresa (2.p.),dieser Adresse,
tato adresa (3.p.),dieser Adresse,
tato adresa (4.p.),diese Adresse,
některá adresa (1.p.),manche Adresse,
některá adresa (2.p.),mancher Adresse,
některá adresa (3.p.),mancher Adresse,
některá adresa (4.p.),manche Adresse,
každá adresa (1.p.),jede Adresse,
každá adresa (2.p.),jeder Adresse,
každá adresa (3.p.),jeder Adresse,
každá adresa (4.p.),jede Adresse,
tyto adresy (1.p.),diese Adressen,
tyto adresy (2.p.),dieser Adressen,
tyto adresy (3.p.),diesen Adressen,
tyto adresy (4.p.),diese Adressen,
některé adresy (1.p.),manche Adressen,
některé adresy (2.p.),mancher Adressen,
některé adresy (3.p.),manchen Adressen,
některé adresy (4.p.),manche Adressen,
všechny adresy (1.p.),alle Adressen,
všechny adresy (2.p.),aller Adressen,
všechny adresy (3.p.),allen Adressen,
všechny adresy (4.p.),alle Adressen,
tato otázka (1.p.),diese Frage,
tato otázka (2.p.),dieser Frage,
tato otázka (3.p.),dieser Frage,
tato otázka (4.p.),diese Frage,
některá otázka (1.p.),manche Frage,
některá otázka (2.p.),mancher Frage,
některá otázka (3.p.),mancher Frage,
některá otázka (4.p.),manche Frage,
každá otázka (1.p.),jede Frage,
každá otázka (2.p.),jeder Frage,
každá otázka (3.p.),jeder Frage,
každá otázka (4.p.),jede Frage,
tyto otázky (1.p.),diese Fragen,
tyto otázky (2.p.),dieser Fragen,
tyto otázky (3.p.),diesen Fragen,
tyto otázky (4.p.),diese Fragen,
některé otázky (1.p.),manche Fragen,
některé otázky (2.p.),mancher Fragen,
některé otázky (3.p.),manchen Fragen,
některé otázky (4.p.),manche Fragen,
všechny otázky (1.p.),alle Fragen,
všechny otázky (2.p.),aller Fragen,
všechny otázky (3.p.),allen Fragen,
všechny otázky (4.p.),alle Fragen,
tento stůl (1.p.),dieser Tisch,
tento stůl (2.p.),dieses Tisches,
tento stůl (3.p.),diesem Tisch,
tento stůl (4.p.),diesen Tisch,
některý stůl (1.p.),mancher Tisch,
některý stůl (2.p.),manches Tisches,
některý stůl (3.p.),manchem Tisch,
některý stůl (4.p.),manchen Tisch,
každý stůl (1.p.),jeder Tisch,
každý stůl (2.p.),jedes Tisches,
každý stůl (3.p.),jedem Tisch,
každý stůl (4.p.),jeden Tisch,
tyto stoly (1.p.),diese Tische,
tyto stoly (2.p.),dieser Tische,
tyto stoly (3.p.),diesen Tischen,
tyto stoly (4.p.),diese Tische,
některé stoly (1.p.),manche Tische,
některé stoly (2.p.),mancher Tische,
některé stoly (3.p.),manchen Tischen,
některé stoly (4.p.),manche Tische,
všechny stoly (1.p.),alle Tische,
všechny stoly (2.p.),aller Tische,
všechny stoly (3.p.),allen Tischen,
všechny stoly (4.p.),alle Tische,
tato ryba (1.p.),dieser Fisch,
tato ryba (2.p.),dieses Fisches,
tato ryba (3.p.),diesem Fisch,
tato ryba (4.p.),diesen Fisch,
některá ryba (1.p.),mancher Fisch,
některá ryba (2.p.),manches Fisches,
některá ryba (3.p.),manchem Fisch,
některá ryba (4.p.),manchen Fisch,
každá ryba (1.p.),jeder Fisch,
každá ryba (2.p.),jedes Fisches,
každá ryba (3.p.),jedem Fisch,
každá ryba (4.p.),jeden Fisch,
tyto ryby (1.p.),diese Fische,
tyto ryby (2.p.),dieser Fische,
tyto ryby (3.p.),diesen Fischen,
tyto ryby (4.p.),diese Fische,
některé ryby (1.p.),manche Fische,
některé ryby (2.p.),mancher Fische,
některé ryby (3.p.),manchen Fischen,
některé ryby (4.p.),manche Fische,
všechny ryby (1.p.),alle Fische,
všechny ryby (2.p.),aller Fische,
všechny ryby (3.p.),allen Fischen,
všechny ryby (4.p.),alle Fische,
